,Codigo,Nombre,Departamento,Municipio
4346,5201500156,Radar Met MUNCHIQUE,Cauca,El Tambo
4347,2319500159,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Santander,Bucaramanga
4348,1117500060,LLORO ,Chocó,Lloro
4349,11047020,QUIBDO ,Chocó,Quibdo
4350,27015320,ARAGON ,Antioquia,Santa Rosa De Osos
4351,26255020,SANTA ISABEL [26255020],Antioquia,Santa Rosa De Osos
4352,11107010,DOMINGODO [11107010],Chocó,Carmen Del Darien
4353,26247020,LA COQUERA ,Antioquia,Caucasia
4354,25027120,MARRALU ,Córdoba,Ayapel
4355,25027770,MARRALU ,Córdoba,Ayapel
4356,13067040,MARACAYO [13067040],Córdoba,Monteria
4357,13065020,MARACAYO [13065020],Córdoba,Monteria
4358,12030020,CARMELO EL [12030020],Antioquia,Arboletes
4359,25020770,SAN PEDRO [25020770],Caquetá,Puerto Rico
4360,25027380,EL SUDAN [25027380],Bolívar,Tiquisio
4361,21085030,SAN RAFAEL [21085030],Huila,Teruel
4362,21110430,GIRONDA LA HACIENDA [21110430],Huila,Neiva
4363,25027200,LAS VARAS ,Bolívar,San Jacinto Del Cauca
4364,25021480,ESPERANZA LA RADIO [25021480],Antioquia,Nechi
4365,25021320,EL SUDAN [25021320],Bolívar,Tiquisio
4366,25027220,SAN MARCOS ,Sucre,San Marcos
4367,25027750,SAN MARCOS ,Sucre,San Marcos
4368,25020140,SAHAGUN ,Córdoba,Sahagun
4369,1303500129,SAHAGUN ,Córdoba,Sahagun
4370,25027490,LAS AGUADAS [25027490],Bolívar,San Martin De Loba
4371,25021540,AGUADAS LAS ALERTA [25021540],Bolívar,San Martin De Loba
4372,25027180,SAN ANTONIO [25027180],Bolívar,Magangue
4373,25020950,SAN ANTONIO ALERTA [25020950],Bolívar,Magangue
4374,13085030,SAN BERNARDO DEL VIENTO [13085030],Córdoba,San Bernardo Del Viento
4375,1303500067,SAN BERNARDO DEL VIENTO ,Córdoba,San Bernardo Del Viento
4376,25020440,SAN PEDRO ,Sucre,San Pedro
4377,29030080,PUERTO SANTANDER [29030080],Bolívar,Maria La Baja
